Mining Pool Name,Mining Pool Link,TX hash,Timestamp,Date
AntPool,https://www.antpool.com/,c436dc81398b26da441a9e09e70df51be128a5fa88f36d61206297d72088f59f,1730670182,2024-11-03
AntPool,https://www.antpool.com/,78013b7bd06b098e8c477d662e84b890a64fe4ab57df87f04d937af01534a038,1730670190,2024-11-03
Foundry USA,https://foundrydigital.com/,1eb1319dbc6f0520262306a46b92073e94bb3b525092b423b0f1891e7d860459,1730670925,2024-11-03
F2Pool,https://www.f2pool.com/,1e0bca6f4be58c981b2030146b54ff3ac388f6e8b6dcbc85e7ba3de7defda553,1730671911,2024-11-03
Foundry USA,https://foundrydigital.com/,69e129fe60baae3fb9046a51817485d9712d90e744e092ba98e4bd8769db4b6c,1730672583,2024-11-03
Foundry USA,https://foundrydigital.com/,d76a518eb094d071767921a5c67afaefb2e87ed43e9014393d58b4846c462450,1730673205,2024-11-03
AntPool,https://www.antpool.com/,99bf8fc0e8e9dc078369d65420e868e467610e571c7b7a3d354bab5add6a2e36,1730673349,2024-11-03
Foundry USA,https://foundrydigital.com/,d5c799b33a8084880004fd7d82b1d54c85462ca3fe261cee00485675a6887aa6,1730673660,2024-11-03
Foundry USA,https://foundrydigital.com/,84782d997614e4a1d478e999eb997e3c5deb3b135f1cbe053f90ce54e2406d46,1730673909,2024-11-03
Foundry USA,https://foundrydigital.com/,9ba78c41db04b0cf2cc6cdb1e805768517a07e246f750c5b1ee4959cb983d215,1730674189,2024-11-03
Foundry USA,https://foundrydigital.com/,ff85310722747a89313617f5cdb47a2e9d0732c4c67b57f27a5424d1979ae394,1730674804,2024-11-03
Foundry USA,https://foundrydigital.com/,5163d905fec54a0c5c924489401673deaf15c46e9ed47ceb60fd5c55b06bd084,1730674978,2024-11-03
,,f13a747cefdd1b37ef07c86e1ba455a03bc8e5a258419def7d57442bb56e88fa,1730675003,2024-11-03
Luxor,https://mining.luxor.tech,76e6dec770e3b7d4993777088c6b7a7b1ae0246b538c47474a491b6507dc74d9,1730675779,2024-11-03
AntPool,https://www.antpool.com/,0cb20fec525a9688e1266c6828e078d13c27835ab2b7695e4bcb282c2a8862a1,1730676226,2024-11-03
ViaBTC,https://viabtc.com,ae2002d94c8089c82e3d11406deca4935b4aba2b4b0b02ead34cb9e43fc287be,1730677144,2024-11-03
Foundry USA,https://foundrydigital.com/,5d3365c0cbaa5f14a33d92ec8b8ee8adc8bcee341af253223b52751778867f14,1730678024,2024-11-03
Poolin,https://www.poolin.com/,a0ec7c6fee1af13a45e5f2b2fc97d3dd666a1d531989807797376ed5d8222cd0,1730678274,2024-11-03
Foundry USA,https://foundrydigital.com/,d419732d69dc97c808ffe3f905592b931655ab4b8d8ec9a474658158599a116f,1730678490,2024-11-04
Luxor,https://mining.luxor.tech,ce9dbaac5c87a75cdf5ea771ecd227e329df1b83a389da5c6f8d798245294936,1730678970,2024-11-04
ViaBTC,https://viabtc.com,56cbbc619f17c9937c2cba73b782b6f1fa8a31586ff5fd639e92cd27bb3b2b63,1730679160,2024-11-04
F2Pool,https://www.f2pool.com/,9c216caf7946e9940ff0a4c2d56edaf8e8d4b7ca3e5a342024a75f40010cbc93,1730679327,2024-11-04
,,b741ac4d4e4b3877e22e01a62c60fa8c62958bf2cdf9bf75f6bb30bf0f4866b0,1730679949,2024-11-04
AntPool,https://www.antpool.com/,8d2a7f03929ba2af068187dfb48b0353f6db05452397666a0e938267edde8962,1730680388,2024-11-04
Foundry USA,https://foundrydigital.com/,ea175b3cee2c09e350a303683afbbd87e7ebb16018ece2b321eb61d647335493,1730680617,2024-11-04
AntPool,https://www.antpool.com/,9496065c6adedbcfe3d9ef21dfc99bb536eb73de1a3b89440e6431dbb612f31c,1730681482,2024-11-04
F2Pool,https://www.f2pool.com/,5abe96f8f1189d73216e7eb036069bd24622cf61bebf3abe082dfbbfa7eb9331,1730683207,2024-11-04
ViaBTC,https://viabtc.com,fe4f6c63c360715895555befc239afc620128d477b21a5fa73c0ed5e7012ed17,1730683660,2024-11-04
Foundry USA,https://foundrydigital.com/,9412ea17b156fe3241025be9b68a9a19f8326c7ffbd0b0524c2db0cf36574831,1730683747,2024-11-04
Foundry USA,https://foundrydigital.com/,04436ebb379e941b48c371c8c6fc53c9c6218bf54ae073762ffb44efb85b3b05,1730684225,2024-11-04
